"Time","172.16.66.87:10250 pod","172.16.66.90:10250 pod","172.16.66.91:10250 pod","172.16.66.87:10250 worker","172.16.66.90:10250 worker","172.16.66.91:10250 worker"
2023-03-04 11:00:00,0,0,0,0.463,0.350,0.476
2023-03-04 11:04:00,0,0,0,0.475,0.337,0.483
2023-03-04 11:08:00,0,0,0,0.471,0.342,0.475
2023-03-04 11:12:00,0,0,0,0.450,0.354,0.504
2023-03-04 11:16:00,0,0,0,0.458,0.354,0.492
2023-03-04 11:20:00,0,0,0,0.483,0.333,0.492
2023-03-04 11:24:00,0,0,0,0.442,0.342,0.488
2023-03-04 11:28:00,0,0,0,0.458,0.358,0.488
2023-03-04 11:32:00,0,0,0,0.471,0.342,0.504
2023-03-04 11:36:00,0,0,0,0.446,0.354,0.508
2023-03-04 11:40:00,0,0,0,0.467,0.321,0.492
2023-03-04 11:44:00,0,0,0,0.467,0.350,0.483
2023-03-04 11:48:00,0,0,0,0.454,0.333,0.479
2023-03-04 11:52:00,0,0,0,0.492,0.329,0.492
2023-03-04 11:56:00,0,0,0,0.458,0.354,0.487
2023-03-04 12:00:00,0,0,0,0.458,0.342,0.504
2023-03-04 12:04:00,0,0,0,0.454,0.342,0.484
2023-03-04 12:08:00,0,0,0,0.446,0.346,0.492
2023-03-04 12:12:00,0,0,0,0.454,0.342,0.500
2023-03-04 12:16:00,0,0,0,0.471,0.342,0.488
2023-03-04 12:20:00,0,0,0,0.467,0.346,0.496
2023-03-04 12:24:00,0,0,0,0.463,0.342,0.496
2023-03-04 12:28:00,0,0,0,0.479,0.346,0.471
2023-03-04 12:32:00,0,0,0,0.446,0.346,0.483
2023-03-04 12:36:00,0,0,0,0.475,0.333,0.504
2023-03-04 12:40:00,0,0,0,0.467,0.354,0.491
2023-03-04 12:44:00,0,0,0,0.458,0.329,0.509
2023-03-04 12:48:00,0,0,0,0.450,0.350,0.500
2023-03-04 12:52:00,0,0,0,0.471,0.346,0.487
2023-03-04 12:56:00,0,0,0,0.475,0.338,0.496
2023-03-04 13:00:00,0,0,0,0.454,0.350,0.483
2023-03-04 13:04:00,0,0,0,0.475,0.342,0.488
2023-03-04 13:08:00,0,0,0,0.463,0.329,0.492
2023-03-04 13:12:00,0,0,0,0.454,0.363,0.492
2023-03-04 13:16:00,0,0,0,0.450,0.317,0.488
2023-03-04 13:20:00,0,0,0,0.458,0.358,0.475
2023-03-04 13:24:00,0,0,0,0.463,0.354,0.504
2023-03-04 13:28:00,0,0,0,0.442,0.342,0.488
2023-03-04 13:32:00,0,0,0,0.483,0.342,0.496
2023-03-04 13:36:00,0,0,0,0.479,0.342,0.488
2023-03-04 13:40:00,0,0,0,0.475,0.350,0.475
2023-03-04 13:44:00,0,0,0,0.463,0.338,0.488
2023-03-04 13:48:00,0,0,0,0.454,0.354,0.483
2023-03-04 13:52:00,0,0,0,0.458,0.342,0.488
2023-03-04 13:56:00,0,0,0,0.458,0.342,0.500
2023-03-04 14:00:00,0,0,0,0.471,0.363,0.479
2023-03-04 14:04:00,0,0,0,0.479,0.325,0.488
2023-03-04 14:08:00,0,0,0,0.442,0.342,0.496
2023-03-04 14:12:00,0,0,0,0.454,0.346,0.504
2023-03-04 14:16:00,0,0,0,0.479,0.338,0.488
2023-03-04 14:20:00,0,0,0,0.458,0.342,0.475
2023-03-04 14:24:00,0,0,0,0.458,0.358,0.479
2023-03-04 14:28:00,0,0,0,0.479,0.350,0.504
2023-03-04 14:32:00,0,0,0,0.471,0.329,0.492
2023-03-04 14:36:00,0,0,0,0.463,0.346,0.492
2023-03-04 14:40:00,0,0,0,0.458,0.338,0.483
2023-03-04 14:44:00,0,0,0,0.463,0.350,0.483
2023-03-04 14:48:00,0,0,0,0.454,0.350,0.483
2023-03-04 14:52:00,0,0,0,0.475,0.329,0.496
2023-03-04 14:56:00,0,0,0,0.471,0.363,0.500
2023-03-04 15:00:00,0,0,0,0.458,0.346,0.483
2023-03-04 15:04:00,0,0,0,0.475,0.338,0.479
2023-03-04 15:08:00,0,0,0,0.433,0.367,0.509
2023-03-04 15:12:00,0,0,0,0.471,0.325,0.500
2023-03-04 15:16:00,0,0,0,0.458,0.342,0.484
2023-03-04 15:20:00,0,0,0,0.458,0.350,0.500
2023-03-04 15:24:00,0,0,0,0.475,0.329,0.479
2023-03-04 15:28:00,0,0,0,0.463,0.342,0.471
2023-03-04 15:32:00,0,0,0,0.479,0.350,0.496
2023-03-04 15:36:00,0,0,0,0.463,0.338,0.488
2023-03-04 15:40:00,0,0,0,0.467,0.346,0.508
2023-03-04 15:44:00,0,0,0,0.454,0.346,0.496
2023-03-04 15:48:00,0,0,0,0.458,0.346,0.483
2023-03-04 15:52:00,0,0,0,0.463,0.333,0.471
2023-03-04 15:56:00,0,0,0,0.463,0.350,0.479
2023-03-04 16:00:00,0,0,0,0.454,0.342,0.492
2023-03-04 16:04:00,0,0,0,0.458,0.346,0.492
2023-03-04 16:08:00,0,0,0,0.458,0.338,0.483
2023-03-04 16:12:00,0,0,0,0.467,0.346,0.488
2023-03-04 16:16:00,0,0,0,0.463,0.350,0.496
2023-03-04 16:20:00,0,0,0,0.483,0.346,0.492
2023-03-04 16:24:00,0,0,0,0.458,0.354,0.496
2023-03-04 16:28:00,0,0,0,0.463,0.346,0.496
2023-03-04 16:32:00,0,0,0,0.467,0.350,0.483
2023-03-04 16:36:00,0,0,0,0.458,0.342,0.504
2023-03-04 16:40:00,0,0,0,0.463,0.346,0.488
2023-03-04 16:44:00,0,0,0,0.475,0.350,0.471
2023-03-04 16:48:00,0,0,0,0.467,0.350,0.471
2023-03-04 16:52:00,0,0,0,0.458,0.329,0.488
2023-03-04 16:56:00,0,0,0,0.458,0.350,0.500
2023-03-04 17:00:00,0,0,0,0.463,0.342,0.500
2023-03-04 17:04:00,0,0,0,0.458,0.342,0.483
2023-03-04 17:08:00,0,0,0,0.463,0.354,0.483
2023-03-04 17:12:00,0,0,0,0.454,0.338,0.500
2023-03-04 17:16:00,0,0,0,0.471,0.358,0.483
2023-03-04 17:20:00,0,0,0,0.463,0.342,0.529
2023-03-04 17:24:00,0,0,0,0.463,0.346,0.479
2023-03-04 17:28:00,0,0,0,0.471,0.333,0.492
2023-03-04 17:32:00,0,0,0,0.454,0.363,0.475
2023-03-04 17:36:00,0,0,0,0.463,0.346,0.496
2023-03-04 17:40:00,0,0,0,0.463,0.346,0.500
2023-03-04 17:44:00,0,0,0,0.463,0.329,0.479
2023-03-04 17:48:00,0,0,0,0.483,0.342,0.492
2023-03-04 17:52:00,0,0,0,0.446,0.363,0.496
2023-03-04 17:56:00,0,0,0,0.463,0.338,0.483
2023-03-04 18:00:00,0,0,0,0.467,0.346,0.496
2023-03-04 18:04:00,0,0,0,0.454,0.354,0.479
2023-03-04 18:08:00,0,0,0,0.458,0.350,0.500
2023-03-04 18:12:00,0,0,0,0.458,0.338,0.496
2023-03-04 18:16:00,0,0,0,0.475,0.338,0.500
2023-03-04 18:20:00,0,0,0,0.467,0.354,0.488
2023-03-04 18:24:00,0,0,0,0.454,0.333,0.488
2023-03-04 18:28:00,0,0,0,0.463,0.358,0.496
2023-03-04 18:32:00,0,0,0,0.467,0.329,0.479
2023-03-04 18:36:00,0,0,0,0.450,0.346,0.492
2023-03-04 18:40:00,0,0,0,0.483,0.329,0.508
2023-03-04 18:44:00,0,0,0,0.446,0.350,0.479
2023-03-04 18:48:00,0,0,0,0.450,0.350,0.483
2023-03-04 18:52:00,0,0,0,0.467,0.346,0.521
2023-03-04 18:56:00,0,0,0,0.454,0.350,0.463
2023-03-04 19:00:00,0,0,0,0.450,0.333,0.504
2023-03-04 19:04:00,0,0,0,0.475,0.346,0.496
2023-03-04 19:08:00,0,0,0,0.479,0.342,0.479
2023-03-04 19:12:00,0,0,0,0.458,0.346,0.496
2023-03-04 19:16:00,0,0,0,0.458,0.338,0.492
